timestamp,tokens_prompt,tokens_completion,total_tokens,latency_ms,estimated_cost_usd
2025-10-26T01:54:22.065451,73,118,191,5718.223094940186,0.0009550000000000001
2025-10-26T01:59:20.673160,73,81,154,3320.585012435913,0.0007700000000000001
2025-10-26T02:05:35.256202,73,95,168,6308.095932006836,0.00084
2025-10-26T02:14:42.303630,72,103,175,4805.567026138306,0.000875
2025-10-26T02:26:09.990019,73,108,181,5632.821083068848,0.0009050000000000001
2025-10-31T22:47:07.192254,73,114,187,5978.039741516113,0.0009350000000000001
2025-10-31T23:42:46.579067,73,96,169,4577.611923217773,0.000845
2025-10-31T23:43:49.792410,73,103,176,3618.1159019470215,0.00088
2025-10-31T23:44:19.279981,73,100,173,3508.9809894561768,0.0008650000000000001
2025-10-31T23:48:24.047024,73,114,187,4765.8021450042725,0.0009350000000000001
2025-10-31T23:58:39.359382,101,74,175,1242.750883102417,0.000875
2025-10-31T23:59:13.385951,101,84,185,1076.888084411621,0.000925
2025-10-31T23:59:34.399458,101,81,182,944.1468715667725,0.0009100000000000001
